20:20:57 - SelfDrivingLogger - WARNING - No left line was detected
20:20:57 - SelfDrivingLogger - WARNING - No left line was detected
20:20:57 - SelfDrivingLogger - WARNING - No left line was detected
20:20:58 - SelfDrivingLogger - WARNING - No left line was detected
20:20:58 - SelfDrivingLogger - WARNING - No left line was detected
20:20:59 - SelfDrivingLogger - WARNING - No left line was detected
20:20:59 - SelfDrivingLogger - WARNING - No left line was detected
20:20:59 - SelfDrivingLogger - WARNING - No left line was detected
20:20:59 - SelfDrivingLogger - WARNING - No left line was detected
20:20:59 - SelfDrivingLogger - WARNING - No left line was detected
20:20:59 - SelfDrivingLogger - WARNING - No left line was detected
20:20:59 - SelfDrivingLogger - WARNING - No left line was detected
20:20:59 - SelfDrivingLogger - WARNING - No left line was detected
20:21:00 - SelfDrivingLogger - WARNING - No left line was detected
20:21:00 - SelfDrivingLogger - WARNING - No left line was detected
20:21:00 - SelfDrivingLogger - WARNING - No left line was detected
20:21:00 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:01 - SelfDrivingLogger - WARNING - No left line was detected
20:21:02 - SelfDrivingLogger - WARNING - No left line was detected
20:21:02 - SelfDrivingLogger - WARNING - No left line was detected
20:21:02 - SelfDrivingLogger - WARNING - No left line was detected
20:21:02 - SelfDrivingLogger - WARNING - No left line was detected
20:21:02 - SelfDrivingLogger - WARNING - No left line was detected
20:21:02 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:03 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:04 - SelfDrivingLogger - WARNING - No left line was detected
20:21:05 - SelfDrivingLogger - WARNING - No left line was detected
20:21:05 - SelfDrivingLogger - WARNING - No left line was detected
20:21:05 - SelfDrivingLogger - WARNING - No left line was detected
20:21:05 - SelfDrivingLogger - WARNING - No left line was detected
20:21:05 - SelfDrivingLogger - WARNING - No left line was detected
20:21:05 - SelfDrivingLogger - WARNING - No left line was detected
20:21:23 - SelfDrivingLogger - WARNING - No left line was detected
20:21:23 - SelfDrivingLogger - WARNING - No left line was detected
20:21:23 - SelfDrivingLogger - WARNING - No right line was detected
20:21:23 - SelfDrivingLogger - WARNING - No right line was detected
20:21:23 - SelfDrivingLogger - WARNING - No left line was detected
20:21:23 - SelfDrivingLogger - WARNING - No left line was detected
20:21:23 - SelfDrivingLogger - WARNING - No left line was detected
20:21:23 - SelfDrivingLogger - WARNING - No left line was detected
20:21:23 - SelfDrivingLogger - WARNING - No left line was detected
20:21:23 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:24 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:25 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:26 - SelfDrivingLogger - WARNING - No left line was detected
20:21:27 - SelfDrivingLogger - WARNING - No left line was detected
20:21:27 - SelfDrivingLogger - WARNING - No left line was detected
20:21:27 - SelfDrivingLogger - WARNING - No left line was detected
20:21:27 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:29 - SelfDrivingLogger - WARNING - No left line was detected
20:21:30 - SelfDrivingLogger - WARNING - No left line was detected
20:21:30 - SelfDrivingLogger - WARNING - No left line was detected
20:21:30 - SelfDrivingLogger - ERROR - No lines detected, using history lines to come to a stop
20:21:30 - SelfDrivingLogger - ERROR - No lines detected, using history lines to come to a stop
20:21:30 - SelfDrivingLogger - WARNING - Attempt 1
20:21:30 - SelfDrivingLogger - WARNING - Attempt 1
20:21:30 - SelfDrivingLogger - ERROR - No lines detected, using history lines to come to a stop
20:21:30 - SelfDrivingLogger - ERROR - No lines detected, using history lines to come to a stop
20:21:30 - SelfDrivingLogger - WARNING - Attempt 2
20:21:30 - SelfDrivingLogger - WARNING - Attempt 2
20:21:30 - SelfDrivingLogger - ERROR - No lines detected, using history lines to come to a stop
20:21:30 - SelfDrivingLogger - ERROR - No lines detected, using history lines to come to a stop
20:21:30 - SelfDrivingLogger - WARNING - Attempt 3
20:21:30 - SelfDrivingLogger - WARNING - Attempt 3
20:21:30 - SelfDrivingLogger - ERROR - Autopilot aborted, unavailable for the rest of this drive
20:21:30 - SelfDrivingLogger - ERROR - Autopilot aborted, unavailable for the rest of this drive
